Edad,Fallecidos,Graves,Menos_Graves,Leves
0,1,2,4,32
1,15,24,20,239
2,12,33,14,240
3,5,37,30,234
4,3,41,28,325
5,7,51,31,316
6,0,46,19,331
7,7,47,30,362
8,5,47,37,371
9,2,50,30,395
10,4,50,30,348
11,5,60,36,384
12,2,62,39,392
13,2,54,37,404
14,9,76,55,426
15,12,71,46,462
16,12,73,57,519
17,8,85,50,655
18,20,136,101,924
19,26,147,87,938
20,34,154,119,1072
21,23,180,97,1079
22,26,172,107,1077
23,33,155,115,1044
24,31,159,104,1033
25,20,155,100,1023
26,32,149,98,961
27,29,122,109,1009
28,23,156,114,1031
29,28,166,95,928
30,25,142,75,934
31,27,118,83,823
32,25,125,82,796
33,27,99,72,784
34,21,112,75,747
35,26,116,78,830
36,21,122,78,774
37,20,117,69,723
38,26,116,95,744
39,26,103,75,649
40,34,103,84,669
41,23,101,53,659
42,26,103,75,707
43,28,107,76,676
44,33,94,54,671
45,24,103,69,674
46,23,87,60,649
47,24,109,61,588
48,27,89,75,550
49,35,98,56,543
50,27,104,89,574
51,21,108,59,501
52,32,98,69,487
53,31,84,43,442
54,26,72,39,472
55,24,74,44,419
56,20,85,42,395
57,21,91,40,348
58,22,74,34,341
59,21,68,47,301
60,15,74,32,312
61,22,63,38,257
62,16,52,35,242
63,24,75,32,245
64,19,46,17,210
65,17,57,29,207
66,13,38,28,163
67,15,49,26,183
68,17,43,33,153
69,12,46,15,142
70,13,43,8,164
71,10,34,12,136
72,13,41,11,105
73,10,38,19,92
74,16,37,7,89
75,8,32,6,105
76,14,28,10,74
77,6,29,8,76
78,4,16,13,68
79,9,23,9,70
80,9,22,10,78
81,4,16,6,45
82,12,10,5,57
83,6,15,5,37
84,3,9,3,25
81,4,16,6,45
82,12,10,5,57
83,6,15,5,37
84,3,9,3,25
85,5,7,8,29
86,5,4,0,19
87,4,10,3,18
88,2,7,1,12
89,2,3,1,6
90,0,4,4,2
