Dia,Siniestros,Fallecidos,Graves,Menos Graves,Leves
Lunes,9493,200,846,469,4663
Martes,9006,172,851,449,4289
Miércoles,9523,174,871,471,4651
Jueves,9368,180,891,469,4476
Viernes,10234,196,1050,479,4952
Sábado,9396,284,997,529,4928
Domingo,7687,279,924,512,4336
