Dia,Siniestros,Fallecidos,Graves,Menos Graves,Leves
Lunes,5624,246,1051,962,4438
Martes,5687,174,1021,884,4089
Miércoles,5741,216,1068,917,4197
Jueves,5586,179,989,859,4047
Viernes,6214,208,1085,1064,4533
Sábado,6416,351,1526,1223,5280
Domingo,5658,324,1350,1020,5055
