region,Siniestros,Fallecidos,Graves,Menos_Graves,Leves
Tarapaca,1701,41,245,256,1490
Antofagasta,1484,62,287,316,1306
Atacama,586,35,206,118,742
Coquimbo,1329,52,311,274,1327
Valparaíso,4799,166,887,479,3843
Metropolitana,20304,497,3247,3219,12571
L.B.O Higgins,1295,135,385,379,959
Maule,2422,137,466,418,2,172
Biobio,3350,287,957,626,3630
Araucania,1520,133,469,320,1508
Los Lagos,1420,138,487,374,1338
Aysen,261,8,53,54,249
Magallanes,455,7,90,96,504
