region,Siniestros,Fallecidos,Graves,Menos_Graves,Leves
Arica y Parinacota,598,28,87,70,444
Tarapaca,871,32,142,110,957
Antofagasta,"1,938",67,250,154,"1,883"
Atacama,649,26,131,78,725
Coquimbo,"1,947",75,317,224,"2,016"
Valparaiso,"7,023",134,785,441,"5,196"
Metropolitana,"21,675",417,"2,016","1,117","12,379"
L.B.O Higgins,"3,408",134,429,361,"2,195"
Maule,"4,541",165,490,340,"2,827"
Biobio,"6,127",230,"1,056",680,"5,856"
Araucanía,"3,514",130,522,278,"2,692"
Los Rios,993,35,152,141,"1,084"
Los Lagos,"2,585",96,384,228,"2,279"
Aysen,618,8,50,35,379
Magallanes,"1,259",18,88,64,832
